Team,CF,CA,CF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF%,HDSF%,HDGF%,HDSH%,HDSV%,SH%,SV%,PDO
Chicago Blackhawks,69,51,57.5,42,29,59.15,6,4,60.0,3.29,2.64,55.47,35,29,54.69,54.55,55.0,50,27.27,66.67,14.29,86.21,1.005
Edmonton Oilers,51,69,42.5,29,42,40.85,4,6,40.0,2.64,3.29,44.53,29,35,45.31,45.45,45.0,50,33.33,72.73,13.79,85.71,0.995
Montreal Canadiens,64,96,40.0,35,41,46.05,3,2,60.0,2.39,4.44,35.01,33,55,37.5,37.5,45.83,50,9.09,92.31,8.57,95.12,1.037
Pittsburgh Penguins,96,64,60.0,41,35,53.95,2,3,40.0,4.44,2.39,64.99,55,33,62.5,62.5,54.17,50,7.69,90.91,4.88,91.43,0.963
Calgary Flames,50,45,52.63,33,18,64.71,4,1,80.0,3.23,1.85,63.6,23,21,52.27,42.86,83.33,66.67,40,0,12.12,94.44,1.0659999999999998
Winnipeg Jets,45,50,47.37,18,33,35.29,1,4,20.0,1.85,3.23,36.4,21,23,47.73,57.14,16.67,33.33,100,60,5.56,87.88,0.934
Florida Panthers,51,58,46.79,28,28,50.0,1,2,33.33,1.85,1.86,49.81,21,26,44.68,45.45,57.14,50,25,66.67,3.57,92.86,0.9640000000000001
New York Islanders,58,51,53.21,28,28,50.0,2,1,66.67,1.86,1.85,50.19,26,21,55.32,54.55,42.86,50,33.33,75,7.14,96.43,1.036
Carolina Hurricanes,69,49,58.47,37,26,58.73,3,2,60.0,3.1,2.19,58.57,33,20,62.26,65.22,81.82,50,11.11,50,8.11,92.31,1.004
New York Rangers,49,69,41.53,26,37,41.27,2,3,40.0,2.19,3.1,41.43,20,33,37.74,34.78,18.18,50,50,88.89,7.69,91.89,0.996
Columbus Blue Jackets,69,62,52.67,35,28,55.56,2,0,100.0,2.75,1.87,59.49,28,29,49.12,50.0,50.0,-,0,100,5.71,100.0,1.057
Toronto Maple Leafs,62,69,47.33,28,35,44.44,0,2,0.0,1.87,2.75,40.51,29,28,50.88,50.0,50.0,-,0,100,0.0,94.29,0.943
Colorado Avalanche,63,49,56.25,38,32,54.29,2,1,66.67,2.82,1.82,60.77,29,24,54.72,61.54,54.55,100,33.33,100,5.26,96.88,1.021
St Louis Blues,49,63,43.75,32,38,45.71,1,2,33.33,1.82,2.82,39.23,24,29,45.28,38.46,45.45,0,0,66.67,3.13,94.74,0.9790000000000001
Arizona Coyotes,60,76,44.12,37,43,46.25,4,3,57.14,2.48,2.57,49.06,24,31,43.64,50.0,66.67,75,37.5,75,10.81,93.02,1.038
Nashville Predators,76,60,55.88,43,37,53.75,3,4,42.86,2.57,2.48,50.94,31,24,56.36,50.0,33.33,25,25,62.5,6.98,89.19,0.9620000000000001
Boston Bruins,70,47,59.83,35,29,54.69,1,4,20.0,2.82,1.31,68.23,34,14,70.83,70.59,68.75,50,9.09,80,2.86,86.21,0.8909999999999999
Philadelphia Flyers,47,70,40.17,29,35,45.31,4,1,80.0,1.31,2.82,31.77,14,34,29.17,29.41,31.25,50,20,90.91,13.79,97.14,1.109
Minnesota Wild,55,54,50.46,31,28,52.54,3,0,100.0,2.81,1.41,66.63,24,23,51.06,61.54,72.73,-,0,100,9.68,100.0,1.097
