Game,Team,,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Attendance
"2020-08-01 - Blackhawks 6, Oilers 4",Chicago Blackhawks,Limited ReportFull ReportSeries Report,60,69,51,57.5,54,36,60,42,29,59.15,6,4,60,3.29,2.64,55.47,35,29,54.69,12,10,54.55,11,9,55,3,3,50,27.27,66.67,23,19,54.76,13,10,56.52,2,0,100,15.38,100,32,19,62.75,18,10,64.29,1,1,50,5.56,90,14.29,86.21,1.005,0
"2020-08-01 - Blackhawks 6, Oilers 4",Edmonton Oilers,Limited ReportFull ReportSeries Report,60,51,69,42.5,36,54,40,29,42,40.85,4,6,40,2.64,3.29,44.53,29,35,45.31,10,12,45.45,9,11,45,3,3,50,33.33,72.73,19,23,45.24,10,13,43.48,0,2,0,0,84.62,19,32,37.25,10,18,35.71,1,1,50,10,94.44,13.79,85.71,0.995,0
"2020-08-01 - Canadiens 3, Penguins 2",Montreal Canadiens,Limited ReportFull ReportSeries Report,73.95,64,96,40,47,69,40.52,35,41,46.05,3,2,60,2.39,4.44,35.01,33,55,37.5,12,20,37.5,11,13,45.83,1,1,50,9.09,92.31,21,35,37.5,6,11,35.29,2,0,100,33.33,100,24,35,40.68,13,14,48.15,0,1,0,0,92.86,8.57,95.12,1.037,0
"2020-08-01 - Canadiens 3, Penguins 2",Pittsburgh Penguins,Limited ReportFull ReportSeries Report,73.95,96,64,60,69,47,59.48,41,35,53.95,2,3,40,4.44,2.39,64.99,55,33,62.5,20,12,62.5,13,11,54.17,1,1,50,7.69,90.91,35,21,62.5,11,6,64.71,0,2,0,0,66.67,35,24,59.32,14,13,51.85,1,0,100,7.14,100,4.88,91.43,0.963,0
"2020-08-01 - Jets 1, Flames 4",Calgary Flames,Limited ReportFull ReportSeries Report,60,50,45,52.63,42,38,52.5,33,18,64.71,4,1,80,3.23,1.85,63.6,23,21,52.27,6,8,42.86,5,1,83.33,2,1,66.67,40,0,17,13,56.67,11,8,57.89,2,0,100,18.18,100,23,22,51.11,15,8,65.22,0,0,-,0,100,12.12,94.44,1.066,0
"2020-08-01 - Jets 1, Flames 4",Winnipeg Jets,Limited ReportFull ReportSeries Report,60,45,50,47.37,38,42,47.5,18,33,35.29,1,4,20,1.85,3.23,36.4,21,23,47.73,8,6,57.14,1,5,16.67,1,2,33.33,100,60,13,17,43.33,8,11,42.11,0,2,0,0,81.82,22,23,48.89,8,15,34.78,0,0,-,0,100,5.56,87.88,0.934,0
"2020-08-01 - Panthers 1, Islanders 2",Florida Panthers,Limited ReportFull ReportSeries Report,60,51,58,46.79,39,43,47.56,28,28,50,1,2,33.33,1.85,1.86,49.81,21,26,44.68,5,6,45.45,4,3,57.14,1,1,50,25,66.67,16,20,44.44,8,7,53.33,0,0,-,0,100,27,26,50.94,14,16,46.67,0,1,0,0,93.75,3.57,92.86,0.964,0
"2020-08-01 - Panthers 1, Islanders 2",New York Islanders,Limited ReportFull ReportSeries Report,60,58,51,53.21,43,39,52.44,28,28,50,2,1,66.67,1.86,1.85,50.19,26,21,55.32,6,5,54.55,3,4,42.86,1,1,50,33.33,75,20,16,55.56,7,8,46.67,0,0,-,0,100,26,27,49.06,16,14,53.33,1,0,100,6.25,100,7.14,96.43,1.036,0
"2020-08-01 - Rangers 2, Hurricanes 3",Carolina Hurricanes,Limited ReportFull ReportSeries Report,60,69,49,58.47,54,40,57.45,37,26,58.73,3,2,60,3.1,2.19,58.57,33,20,62.26,15,8,65.22,9,2,81.82,1,1,50,11.11,50,18,12,60,9,10,47.37,2,0,100,22.22,100,29,26,52.73,14,12,53.85,0,1,0,0,91.67,8.11,92.31,1.004,0
"2020-08-01 - Rangers 2, Hurricanes 3",New York Rangers,Limited ReportFull ReportSeries Report,60,49,69,41.53,40,54,42.55,26,37,41.27,2,3,40,2.19,3.1,41.43,20,33,37.74,8,15,34.78,2,9,18.18,1,1,50,50,88.89,12,18,40,10,9,52.63,0,2,0,0,77.78,26,29,47.27,12,14,46.15,1,0,100,8.33,100,7.69,91.89,0.996,0
"2020-08-02 - Blue Jackets 2, Maple Leafs 0",Columbus Blue Jackets,Limited ReportFull ReportSeries Report,60,69,62,52.67,55,44,55.56,35,28,55.56,2,0,100,2.75,1.87,59.49,28,29,49.12,10,10,50,5,5,50,0,0,-,0,100,18,19,48.65,6,4,60,2,0,100,33.33,100,39,31,55.71,22,18,55,0,0,-,0,100,5.71,100,1.057,0
"2020-08-02 - Blue Jackets 2, Maple Leafs 0",Toronto Maple Leafs,Limited ReportFull ReportSeries Report,60,62,69,47.33,44,55,44.44,28,35,44.44,0,2,0,1.87,2.75,40.51,29,28,50.88,10,10,50,5,5,50,0,0,-,0,100,19,18,51.35,4,6,40,0,2,0,0,66.67,31,39,44.29,18,22,45,0,0,-,0,100,0,94.29,0.943,0
"2020-08-02 - Blues 1, Avalanche 2",Colorado Avalanche,Limited ReportFull Report,60,63,49,56.25,49,39,55.68,38,32,54.29,2,1,66.67,2.82,1.82,60.77,29,24,54.72,8,5,61.54,6,5,54.55,2,0,100,33.33,100,21,19,52.5,9,10,47.37,0,1,0,0,90,31,21,59.62,20,14,58.82,0,0,-,0,100,5.26,96.88,1.021,0
"2020-08-02 - Blues 1, Avalanche 2",St Louis Blues,Limited ReportFull Report,60,49,63,43.75,39,49,44.32,32,38,45.71,1,2,33.33,1.82,2.82,39.23,24,29,45.28,5,8,38.46,5,6,45.45,0,2,0,0,66.67,19,21,47.5,10,9,52.63,1,0,100,10,100,21,31,40.38,14,20,41.18,0,0,-,0,100,3.13,94.74,0.979,0
"2020-08-02 - Coyotes 4, Predators 3",Arizona Coyotes,Limited ReportFull ReportSeries Report,60,60,76,44.12,43,56,43.43,37,43,46.25,4,3,57.14,2.48,2.57,49.06,24,31,43.64,10,10,50,8,4,66.67,3,1,75,37.5,75,14,21,40,4,9,30.77,0,1,0,0,88.89,32,37,46.38,21,24,46.67,1,1,50,4.76,95.83,10.81,93.02,1.038,0
"2020-08-02 - Coyotes 4, Predators 3",Nashville Predators,Limited ReportFull ReportSeries Report,60,76,60,55.88,56,43,56.57,43,37,53.75,3,4,42.86,2.57,2.48,50.94,31,24,56.36,10,10,50,4,8,33.33,1,3,25,25,62.5,21,14,60,9,4,69.23,1,0,100,11.11,100,37,32,53.62,24,21,53.33,1,1,50,4.17,95.24,6.98,89.19,0.962,0
"2020-08-02 - Flyers 4, Bruins 1",Boston Bruins,Limited ReportFull Report,60,70,47,59.83,54,36,60,35,29,54.69,1,4,20,2.82,1.31,68.23,34,14,70.83,12,5,70.59,11,5,68.75,1,1,50,9.09,80,22,9,70.97,9,6,60,0,2,0,0,66.67,32,26,55.17,13,13,50,0,1,0,0,92.31,2.86,86.21,0.891,0
"2020-08-02 - Flyers 4, Bruins 1",Philadelphia Flyers,Limited ReportFull Report,60,47,70,40.17,36,54,40,29,35,45.31,4,1,80,1.31,2.82,31.77,14,34,29.17,5,12,29.41,5,11,31.25,1,1,50,20,90.91,9,22,29.03,6,9,40,2,0,100,33.33,100,26,32,44.83,13,13,50,1,0,100,7.69,100,13.79,97.14,1.109,0
"2020-08-02 - Wild 3, Canucks 0",Minnesota Wild,Limited ReportFull ReportSeries Report,60,55,54,50.46,41,39,51.25,31,28,52.54,3,0,100,2.81,1.41,66.63,24,23,51.06,8,5,61.54,8,3,72.73,0,0,-,0,100,16,18,47.06,5,5,50,1,0,100,20,100,25,27,48.08,16,17,48.48,1,0,100,6.25,100,9.68,100,1.097,0
"2020-08-02 - Wild 3, Canucks 0",Vancouver Canucks,Limited ReportFull ReportSeries Report,60,54,55,49.54,39,41,48.75,28,31,47.46,0,3,0,1.41,2.81,33.37,23,24,48.94,5,8,38.46,3,8,27.27,0,0,-,0,100,18,16,52.94,5,5,50,0,1,0,0,80,27,25,51.92,17,16,51.52,0,1,0,0,93.75,0,90.32,0.903,0
"2020-08-03 - Blackhawks 3, Oilers 6",Chicago Blackhawks,Limited ReportFull ReportSeries Report,60,53,62,46.09,31,48,39.24,26,35,42.62,3,6,33.33,1.69,3.59,32.02,26,31,45.61,8,23,25.81,6,16,27.27,1,3,25,16.67,81.25,18,8,69.23,7,3,70,1,0,100,14.29,100,20,29,40.82,10,16,38.46,1,3,25,10,81.25,11.54,82.86,0.944,0
"2020-08-03 - Blackhawks 3, Oilers 6",Edmonton Oilers,Limited ReportFull ReportSeries Report,60,62,53,53.91,48,31,60.76,35,26,57.38,6,3,66.67,3.59,1.69,67.98,31,26,54.39,23,8,74.19,16,6,72.73,3,1,75,18.75,83.33,8,18,30.77,3,7,30,0,1,0,0,85.71,29,20,59.18,16,10,61.54,3,1,75,18.75,90,17.14,88.46,1.056,0
"2020-08-03 - Canadiens 1, Penguins 3",Montreal Canadiens,Limited ReportFull ReportSeries Report,60,47,71,39.83,36,57,38.71,27,38,41.54,1,3,25,1.7,5.51,23.53,17,35,32.69,8,12,40,8,9,47.06,1,2,33.33,12.5,77.78,9,23,28.13,6,12,33.33,0,1,0,0,91.67,25,29,46.3,8,16,33.33,0,0,-,0,100,3.7,92.11,0.958,0
"2020-08-03 - Canadiens 1, Penguins 3",Pittsburgh Penguins,Limited ReportFull ReportSeries Report,60,71,47,60.17,57,36,61.29,38,27,58.46,3,1,75,5.51,1.7,76.47,35,17,67.31,12,8,60,9,8,52.94,2,1,66.67,22.22,87.5,23,9,71.88,12,6,66.67,1,0,100,8.33,100,29,25,53.7,16,8,66.67,0,0,-,0,100,7.89,96.3,1.042,0
"2020-08-03 - Capitals 3, Lightning 4",Tampa Bay Lightning,Limited ReportFull Report,80,53,59,47.32,40,47,45.98,31,35,46.97,4,3,57.14,3.12,5.15,37.73,18,28,39.13,8,14,36.36,6,11,35.29,3,2,60,50,81.82,10,14,41.67,4,7,36.36,0,1,0,0,85.71,30,29,50.85,19,16,54.29,1,0,100,5.26,100,12.9,91.43,1.043,0
"2020-08-03 - Capitals 3, Lightning 4",Washington Capitals,Limited ReportFull Report,80,59,53,52.68,47,40,54.02,35,31,53.03,3,4,42.86,5.15,3.12,62.27,28,18,60.87,14,8,63.64,11,6,64.71,2,3,40,18.18,50,14,10,58.33,7,4,63.64,1,0,100,14.29,100,29,30,49.15,16,19,45.71,0,1,0,0,94.74,8.57,87.1,0.957,0
"2020-08-03 - Jets 3, Flames 2",Calgary Flames,Limited ReportFull ReportSeries Report,60,51,49,51,39,37,51.32,30,26,53.57,2,3,40,1.99,2.58,43.59,27,23,54,4,9,30.77,1,6,14.29,0,3,0,0,50,23,14,62.16,17,7,70.83,2,0,100,11.76,100,20,24,45.45,12,12,50,0,0,-,0,100,6.67,88.46,0.951,0
